ID,Review Date,Location,Hotel/Restaurant name,Processed_review,Location_Hotel
rn579710123,Reviewed 1 week ago , Phuket Town,Surf and Turf by Soul Kitchen,wow find true tripadvisor happy chance dine start amazing restaurant owner nice kind design space interior fyoufyouyoud husband headchef restaurant, Phuket Town_Surf and Turf by Soul Kitchen
rn578870903,Reviewed 1 week ago , Phuket Town,Surf and Turf by Soul Kitchen,good crossover food ever fully satisfied one top restaurant would recommend phuket, Phuket Town_Surf and Turf by Soul Kitchen
rn576141183,Reviewed 3 weeks ago , Phuket Town,Surf and Turf by Soul Kitchen,visit restaurant base review ta order beef ravioli beef tacos tuna pizza start ravioli tuna pizza amazing tuna pizza interesting yet superb combination spicy raw tuna, Phuket Town_Surf and Turf by Soul Kitchen
rn573849598,Reviewed 4 weeks ago , Phuket Town,Surf and Turf by Soul Kitchen,husband go dinner last night pleased food service atmosphere definitely visit good idea book table little gem popular, Phuket Town_Surf and Turf by Soul Kitchen
rn572956411,"Reviewed April 12, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,french chef really concerned quality dish fish amazing price crazy cheap, Phuket Town_Surf and Turf by Soul Kitchen
rn569897443,"Reviewed March 31, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,restaurant want go close end instead happy accident delicious interesting food lovely see chef willing push boundary duck samosa special fantastic recommend, Phuket Town_Surf and Turf by Soul Kitchen
rn566644875,"Reviewed March 15, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,good place eat far whole country recommend everyone want top notch soul food perfect food super price chef tom always give good make customer happy get successfully go, Phuket Town_Surf and Turf by Soul Kitchen
rn566507878,"Reviewed March 14, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,want great food end trip thailand read review place believe try well disappoint food incredible love every single bit bit gutte, Phuket Town_Surf and Turf by Soul Kitchen
rn566148749,"Reviewed March 12, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,husband go restaurant first night thailand week holiday around phuket agree flavoursome vegetarian husband enjoy dish, Phuket Town_Surf and Turf by Soul Kitchen
rn562213565,"Reviewed February 22, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,go group person dinner unfortunately arrive guest arrive put stress service one man show owner chef kitchen service staff mix starter, Phuket Town_Surf and Turf by Soul Kitchen
rn562043433,"Reviewed February 21, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,visit place extraordinary good review restaurant stylish similarly nice prepared meal plate quality however really overwhelming many time mention review know chef, Phuket Town_Surf and Turf by Soul Kitchen
rn562008512,"Reviewed February 21, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,one good restaurant ever eat period across world big compliment chef incredible food point reorder another helping beef taco dessert portion small matter, Phuket Town_Surf and Turf by Soul Kitchen
rn560997112,"Reviewed February 17, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,really good surprise search place nice eat tripadvisor find surf turf really small restaurant way think possible keep service like food, Phuket Town_Surf and Turf by Soul Kitchen
rn559402752,"Reviewed February 9, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,good food thailand try beautiful decoration ambient recomend place everyone love, Phuket Town_Surf and Turf by Soul Kitchen
rn558550004,"Reviewed February 5, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,lovley little oasis menu offer great combination western asian cuisine surf n turf home make ravioli must love, Phuket Town_Surf and Turf by Soul Kitchen
